Date,Open,High,Low,Close,Adj Close,Volume
2024-03-27,189.31,191.36,183.77,186.88,186.88,172286694
2024-03-28,188.44,190.27,183.4,186.38,186.38,131338765
2024-03-29,185.77,190.92,184.1,188.86,188.86,142574450
2024-04-01,186.59,196.72,185.16,194.77,194.77,124468810
2024-04-02,196.63,199.8,191.24,193.87,193.87,154465538
2024-04-03,193.71,196.81,190.66,192.98,192.98,349584231
2024-04-04,194.67,201.96,192.76,199.24,199.24,77358619
2024-04-05,197.02,204.15,195.32,202.37,202.37,52671298
2024-04-08,201.52,202.97,198.22,200.49,200.49,84401955
2024-04-09,200.5,205.63,198.22,202.72,202.72,149768988
2024-04-10,202.79,205.2,199.1,200.86,200.86,170412357
2024-04-11,200.22,202.33,196.34,199.0,199.0,181440277
2024-04-12,199.88,202.03,196.54,200.0,200.0,44912699
2024-04-15,198.5,201.19,189.72,192.45,192.45,113159284
2024-04-16,192.26,195.84,182.56,185.9,185.9,161093372
2024-04-17,186.06,188.85,181.99,183.82,183.82,61321786
2024-04-18,184.49,187.61,177.65,180.13,180.13,163944282
2024-04-19,181.04,183.54,179.72,181.29,181.29,62480459
2024-04-22,179.86,181.78,175.82,178.03,178.03,108570708
2024-04-23,176.11,178.36,170.44,173.05,173.05,160400174
2024-04-24,174.62,183.42,170.08,178.26,178.26,86545767
2024-04-25,178.68,180.13,174.96,177.47,177.47,94982175
2024-04-26,176.54,180.6,173.0,177.73,177.73,87074992
2024-04-29,179.69,181.94,171.45,172.72,172.72,144806979
2024-04-30,172.86,174.77,168.21,170.85,170.85,78671170
2024-05-01,172.28,174.33,169.92,171.26,171.26,178664369
2024-05-02,171.34,174.63,164.25,167.35,167.35,105380003
2024-05-03,169.8,171.54,166.98,168.64,168.64,112287886
2024-05-06,170.74,173.25,164.86,166.63,166.63,108424020
2024-05-07,166.34,167.61,164.31,165.67,165.67,120340449
2024-05-08,166.81,168.3,161.81,163.69,163.69,117489629
2024-05-09,164.44,171.7,161.88,169.94,169.94,114662300
2024-05-10,171.59,174.32,167.61,169.91,169.91,188338542
2024-05-13,168.76,171.09,164.5,166.35,166.35,150011468
2024-05-14,167.15,171.04,165.8,169.15,169.15,149462942
2024-05-15,170.42,173.03,161.97,165.05,165.05,271167787
2024-05-16,163.02,170.65,159.78,165.77,165.77,130918244
2024-05-17,164.39,165.96,157.23,159.37,159.37,92130809
2024-05-20,157.09,158.77,153.24,155.17,155.17,174885332
2024-05-21,154.88,159.38,151.38,155.81,155.81,104219548
2024-05-22,156.6,161.84,153.27,158.16,158.16,70143217
2024-05-23,159.85,161.22,157.06,158.73,158.73,163061596
2024-05-24,158.81,161.0,156.36,158.38,158.38,65551168
2024-05-27,160.21,162.03,155.89,157.44,157.44,156842039
2024-05-28,155.91,157.3,151.65,152.83,152.83,124497989
2024-05-29,151.01,152.12,148.83,150.65,150.65,56059881
2024-05-30,150.59,151.62,147.87,149.27,149.27,47536437
2024-05-31,149.68,154.35,147.79,152.51,152.51,107379522
2024-06-03,152.47,158.45,146.51,153.58,153.58,44095334
2024-06-04,151.36,153.29,145.75,148.24,148.24,59219875
2024-06-05,148.14,152.45,144.58,149.23,149.23,112084435
2024-06-06,147.86,149.82,146.48,148.09,148.09,181112166
2024-06-07,148.79,150.6,144.05,146.1,146.1,110532285
2024-06-10,146.48,149.83,144.62,147.93,147.93,150118827
2024-06-11,146.95,152.44,145.29,151.05,151.05,166719454
2024-06-12,150.51,156.64,148.1,153.93,153.93,155284827
2024-06-13,152.79,154.4,149.72,151.37,151.37,131934426
2024-06-14,151.3,154.08,148.08,150.44,150.44,106885476
2024-06-17,151.46,152.85,149.65,151.47,151.47,109736941
2024-06-18,150.42,156.0,148.79,154.49,154.49,76505023
2024-06-19,155.05,156.82,151.06,153.03,153.03,109562281
2024-06-20,152.46,155.42,149.81,152.47,152.47,95906053
2024-06-21,151.62,152.96,147.08,149.13,149.13,78384693
