Date,Open,High,Low,Close,Adj Close,Volume
2024-09-16,179.4,180.43,178.53,179.56,179.56,40923437
2024-09-17,178.85,182.54,177.73,180.95,180.95,68156469
2024-09-18,181.3,182.61,178.55,179.65,179.65,56749024
2024-09-19,178.67,178.93,177.95,178.26,178.26,79202362
2024-09-20,178.05,185.27,175.84,183.63,183.63,78475994
2024-09-23,183.14,188.25,182.63,187.57,187.57,127705182
2024-09-24,186.51,189.35,185.38,187.95,187.95,36074920
2024-09-25,188.34,190.05,187.39,188.85,188.85,54683419
2024-09-26,187.94,191.67,187.19,191.15,191.15,112096565
2024-09-27,191.84,195.9,191.25,194.83,194.83,77397570
2024-09-30,194.7,199.2,193.14,197.9,197.9,73831681
2024-10-01,199.69,201.62,192.17,194.17,194.17,116876328
2024-10-02,193.39,196.49,191.67,195.08,195.08,158258527
2024-10-03,194.22,196.5,193.37,195.87,195.87,95188252
2024-10-04,195.63,201.91,193.3,199.96,199.96,90831194
2024-10-07,200.4,204.47,198.85,202.74,202.74,34917092
2024-10-08,202.38,204.29,195.0,196.78,196.78,101038486
2024-10-09,197.17,198.58,193.47,195.8,195.8,103611000
2024-10-10,196.15,202.19,194.76,200.82,200.82,125563828
2024-10-11,200.68,202.69,197.04,199.62,199.62,82194162
2024-10-14,197.32,199.31,196.45,198.12,198.12,102003115
2024-10-15,198.26,201.17,197.29,199.66,199.66,86415220
2024-10-16,199.72,210.59,198.53,209.51,209.51,86412050
2024-10-17,209.22,212.2,203.83,206.42,206.42,51484017
2024-10-18,205.22,206.13,203.62,204.76,204.76,67669131
2024-10-21,203.94,207.16,202.35,205.26,205.26,92705411
2024-10-22,205.09,208.22,204.2,206.32,206.32,178353676
2024-10-23,205.86,209.97,203.9,208.06,208.06,44848918
2024-10-24,207.95,208.97,207.22,208.19,208.19,114027377
2024-10-25,207.86,213.49,206.27,212.51,212.51,88234212
2024-10-28,212.55,213.06,209.74,210.36,210.36,92120182
2024-10-29,209.51,211.44,205.97,207.87,207.87,70961644
2024-10-30,208.7,211.17,199.28,200.6,200.6,156218199
2024-10-31,199.56,200.06,194.62,195.12,195.12,139867766
2024-11-01,192.83,194.76,191.68,192.72,192.72,85358455
2024-11-04,193.71,195.62,192.45,194.46,194.46,59853700
2024-11-05,193.7,194.57,190.07,190.88,190.88,55558310
2024-11-06,191.21,193.24,189.57,191.34,191.34,81841975
2024-11-07,190.96,192.03,187.49,188.4,188.4,120246639
2024-11-08,188.69,190.08,188.26,189.45,189.45,117222740
2024-11-11,188.41,189.07,182.03,182.86,182.86,73186760
2024-11-12,183.33,184.24,181.96,182.43,182.43,56174052
2024-11-13,182.47,182.92,177.7,178.32,178.32,61446324
2024-11-14,178.13,178.79,174.89,175.83,175.83,29833724
2024-11-15,176.89,178.07,170.17,172.48,172.48,36890121
2024-11-18,173.53,175.34,172.36,173.33,173.33,55661507
2024-11-19,173.03,176.05,172.04,174.42,174.42,84398802
2024-11-20,175.09,176.4,170.3,172.55,172.55,76938323
2024-11-21,173.9,174.48,172.79,173.51,173.51,61239650
2024-11-22,172.41,178.63,171.46,177.13,177.13,90673559
2024-11-25,176.82,178.27,176.17,177.42,177.42,6069139
2024-11-26,177.14,179.46,176.21,178.18,178.18,36790058
2024-11-27,178.48,180.12,176.79,178.26,178.26,80117558
2024-11-28,178.41,181.94,177.08,181.05,181.05,54796449
