Date,Open,High,Low,Close,Adj Close,Volume
2024-09-16,116.9,117.75,115.49,116.77,116.77,520718097
2024-09-17,117.22,118.47,111.56,112.64,112.64,804159497
2024-09-18,112.48,115.04,112.13,114.55,114.55,297451257
2024-09-19,111.33,116.5,110.86,115.99,115.99,1000000
2024-09-20,114.67,114.97,111.83,112.32,112.32,434244928
2024-09-23,112.03,115.65,110.77,115.09,115.09,288137076
2024-09-24,114.49,116.08,113.21,114.93,114.93,92922759
2024-09-25,116.06,118.21,115.57,117.81,117.81,524492442
2024-09-26,117.21,118.18,115.66,116.96,116.96,165246160
2024-09-27,117.92,119.2,117.58,118.69,118.69,547621316
2024-09-30,118.35,118.64,117.06,117.35,117.35,1000000
2024-10-01,118.4,119.0,117.06,118.21,118.21,47252834
2024-10-02,119.8,121.2,117.11,118.19,118.19,282410584
2024-10-03,119.34,119.82,117.19,117.63,117.63,212459557
2024-10-04,118.35,120.31,114.73,116.08,116.08,620054827
2024-10-07,115.79,117.24,112.45,113.29,113.29,576251150
2024-10-08,111.96,117.17,111.14,116.46,116.46,653430825
2024-10-09,117.71,120.42,116.33,119.42,119.42,480078612
2024-10-10,120.17,121.46,116.16,118.07,118.07,519327892
2024-10-11,116.76,118.51,113.37,114.15,114.15,456970975
2024-10-14,114.87,117.03,114.34,116.51,116.51,383520296
2024-10-15,116.22,118.17,111.81,113.3,113.3,231908059
2024-10-16,114.06,119.04,113.17,117.79,117.79,418326503
2024-10-17,118.06,120.54,116.54,118.82,118.82,292408608
2024-10-18,117.52,122.7,115.15,121.12,121.12,203066266
2024-10-21,121.56,122.68,119.0,120.25,120.25,242031818
2024-10-22,120.75,122.32,120.24,121.85,121.85,614964731
2024-10-23,122.44,123.23,117.7,118.62,118.62,520431522
2024-10-24,117.06,118.4,112.97,114.21,114.21,182225951
2024-10-25,114.93,120.09,113.83,119.3,119.3,678768606
2024-10-28,118.84,119.99,118.29,118.96,118.96,308579211
2024-10-29,118.82,119.72,115.98,116.68,116.68,199052107
2024-10-30,117.7,119.29,115.91,117.94,117.94,175362663
2024-10-31,117.34,118.37,115.6,116.13,116.13,478693322
2024-11-01,117.4,118.87,110.09,111.33,111.33,210001326
2024-11-04,113.31,114.34,108.67,109.44,109.44,426484517
2024-11-05,108.66,110.91,108.18,110.68,110.68,389809693
2024-11-06,110.46,117.7,109.21,115.72,115.72,729683177
2024-11-07,115.19,117.84,114.23,115.74,115.74,406336862
2024-11-08,115.51,116.88,113.19,114.01,114.01,151893641
2024-11-11,114.18,115.82,108.13,109.77,109.77,696973027
2024-11-12,110.47,111.62,108.75,109.81,109.81,514226128
2024-11-13,109.59,113.4,108.09,111.84,111.84,185148279
2024-11-14,112.8,113.89,108.34,109.34,109.34,186576482
2024-11-15,109.26,110.81,102.57,104.43,104.43,241052772
2024-11-18,104.37,106.06,104.1,105.76,105.76,222164488
2024-11-19,105.86,106.54,104.56,105.76,105.76,657735849
2024-11-20,106.61,109.67,105.95,109.18,109.18,218708886
2024-11-21,109.53,113.11,108.67,111.27,111.27,556361526
2024-11-22,111.32,112.63,106.86,107.79,107.79,245521397
2024-11-25,107.49,109.22,102.84,103.81,103.81,711925364
2024-11-26,103.85,105.8,103.15,105.35,105.35,229291362
2024-11-27,105.62,111.92,104.95,110.9,110.9,173847984
2024-11-28,112.2,114.29,110.97,112.3,112.3,341406572
2024-11-29,112.26,114.19,110.71,111.85,111.85,96551971
2024-12-02,111.16,113.43,110.38,112.27,112.27,265327413
2024-12-03,112.12,114.93,111.41,114.45,114.45,72706733
2024-12-04,114.31,118.2,113.18,116.5,116.5,653778447
2024-12-05,116.79,119.32,114.09,116.48,116.48,379186861
2024-12-06,116.01,120.5,114.92,119.1,119.1,365990776
2024-12-09,118.52,120.78,115.91,118.93,118.93,261334792
2024-12-10,116.87,119.74,114.66,117.57,117.57,432517834
2024-12-11,118.99,119.96,116.49,117.4,117.4,208340749
2024-12-12,116.69,125.09,116.35,124.59,124.59,695571308
2024-12-13,125.11,125.85,121.34,121.87,121.87,223448092
2024-12-16,122.4,124.66,119.22,121.36,121.36,180959697
2024-12-17,120.26,120.88,117.32,118.08,118.08,98931820
2024-12-18,118.1,121.62,117.24,119.56,119.56,475841671
2024-12-19,120.01,121.58,115.36,117.27,117.27,290220000
2024-12-20,118.63,119.99,114.75,115.92,115.92,422555888
2024-12-23,116.69,118.78,115.46,117.11,117.11,250062677
2024-12-24,115.32,118.4,114.94,117.88,117.88,575150520
2024-12-25,117.17,120.48,116.18,118.45,118.45,217663683
2024-12-26,118.07,120.18,117.61,119.6,119.6,368030326
2024-12-27,121.56,124.1,117.52,120.0,120.0,320235694
2024-12-30,119.03,121.18,118.13,120.57,120.57,528174891
2024-12-31,122.58,124.66,115.1,116.84,116.84,345095587
2025-01-01,117.24,121.9,116.16,119.93,119.93,532195396
