Date,Open,High,Low,Close,Adj Close,Volume
2025-06-06,44.25,44.52,43.52,43.81,43.81,2236160
2025-06-09,43.71,44.3,43.14,43.45,43.45,1938770
2025-06-10,43.22,43.98,43.03,43.49,43.49,2354377
2025-06-11,43.18,44.4,42.92,43.82,43.82,1883142
2025-06-12,43.55,43.6,43.11,43.21,43.21,1975441
2025-06-13,43.14,43.48,43.03,43.23,43.23,2187778
2025-06-16,42.92,43.36,42.73,43.24,43.24,1739694
2025-06-17,43.63,43.79,41.82,41.89,41.89,1005122
2025-06-18,41.82,43.22,41.47,42.67,42.67,2087455
2025-06-19,42.7,43.2,42.6,43.14,43.14,1532040
2025-06-20,43.51,43.92,42.09,42.67,42.67,1081677
2025-06-23,43.05,43.16,42.46,42.55,42.55,1051356
2025-06-24,42.5,43.12,42.39,42.95,42.95,1578394
2025-06-25,43.03,43.4,42.35,42.76,42.76,2072423
2025-06-26,42.95,43.08,42.51,42.59,42.59,1461266
2025-06-27,42.54,42.98,41.21,41.48,41.48,1585748
2025-06-30,41.04,42.34,40.72,41.91,41.91,2070295
2025-07-01,42.08,42.2,41.72,42.02,42.02,1533084
2025-07-02,42.24,42.73,41.67,42.24,42.24,811131
2025-07-03,42.34,42.45,40.94,41.09,41.09,1454841
2025-07-04,40.86,42.51,40.73,42.32,42.32,2024399
2025-07-07,42.27,42.7,41.96,42.45,42.45,1748160
2025-07-08,42.3,42.53,41.83,42.17,42.17,1905665
2025-07-09,42.09,43.95,41.88,43.72,43.72,1524760
2025-07-10,44.06,44.34,43.05,43.7,43.7,2276199
2025-07-11,44.1,44.62,42.31,42.57,42.57,949284
2025-07-14,42.74,42.83,42.19,42.27,42.27,2123562
2025-07-15,42.41,42.53,40.32,40.55,40.55,1730863
2025-07-16,40.71,41.54,40.55,41.32,41.32,843862
2025-07-17,41.32,41.61,40.66,41.03,41.03,2276011
2025-07-18,41.01,41.27,40.36,40.49,40.49,1350484
2025-07-21,40.33,41.61,39.99,41.28,41.28,2320983
2025-07-22,41.27,41.68,39.65,40.07,40.07,1560494
2025-07-23,40.61,40.97,40.17,40.47,40.47,1104947
2025-07-24,40.68,40.89,38.74,38.98,38.98,824091
2025-07-25,38.9,39.06,38.21,38.52,38.52,835107
2025-07-28,38.41,38.9,37.48,37.7,37.7,1128910
2025-07-29,37.5,38.77,37.45,38.7,38.7,1568150
2025-07-30,38.79,40.29,38.22,39.95,39.95,1505140
2025-07-31,40.04,40.74,39.33,39.72,39.72,2064757
2025-08-01,39.38,40.61,38.91,40.33,40.33,1612733
2025-08-04,40.45,40.72,40.02,40.22,40.22,1987767
2025-08-05,40.08,41.07,39.89,40.64,40.64,2234393
2025-08-06,40.99,41.31,39.59,40.1,40.1,2397422
2025-08-07,40.14,40.33,38.7,38.88,38.88,1124126
2025-08-08,39.28,39.37,37.48,37.63,37.63,985450
2025-08-11,37.53,38.62,37.3,37.9,37.9,2187084
2025-08-12,37.83,39.89,37.27,39.44,39.44,1594041
2025-08-13,39.52,39.8,39.36,39.65,39.65,2403565
2025-08-14,39.9,40.16,39.02,39.28,39.28,1123415
2025-08-15,39.42,40.75,39.31,40.65,40.65,1551462
2025-08-18,40.35,41.17,39.84,40.83,40.83,894969
2025-08-19,40.88,41.5,40.36,40.92,40.92,1005243
2025-08-20,40.93,41.34,40.48,41.12,41.12,2412376
2025-08-21,41.01,41.66,40.77,41.03,41.03,2258331
2025-08-22,40.87,41.02,40.62,40.82,40.82,1958530
2025-08-25,41.25,41.35,39.49,39.78,39.78,1521714
2025-08-26,39.68,40.39,39.58,40.15,40.15,2436203
2025-08-27,39.94,40.37,39.6,40.09,40.09,1056485
2025-08-28,40.24,41.08,40.17,40.96,40.96,837393
2025-08-29,41.0,41.49,40.1,40.7,40.7,2123060
2025-09-01,40.69,40.84,39.19,39.32,39.32,1073873
2025-09-02,39.5,39.65,39.0,39.26,39.26,2161412
